NEIGHBORHOOD,SUMMARY
Carrick,Criminal Mischief (Graffiti Damage)
Bluff,Public drunkenness
Spring Hill-City View,Alcohol on streets/sidewalks
Golden Triangle/Civic Arena,Valet parking requirement
South Side Flats,Public drunkenness
Golden Triangle/Civic Arena,Fighting disorderly conduct
Golden Triangle/Civic Arena,Public drunkenness
Squirrel Hill North,Interference with duties
North Oakland,Open Container
South Side Flats,Disorderly conduct (unreasonable noise)
West Oakland,Disorderly conduct (unreasonable noise)
South Side Flats,Obscene Lang/Gesture Disorderly Conduct
South Side Flats,Public urination/defecation
West Oakland,Unreasonable Noise Disorderly Conduct
Carrick,Public drunkenness
South Side Flats,Indecent public urination/defecation
Allegheny Center,Public drunkenness
North Oakland,Underage liquor offense
South Shore,Public drunkenness
South Side Flats,Indecent public urination/defecation
Golden Triangle/Civic Arena,Public drunkenness
Golden Triangle/Civic Arena,Open Container
Central Oakland,Underage liquor
Carrick,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
East Allegheny,Obscene lang/gest disorderly conduct
Glen Hazel,Obscene lang/gest disorderly conduct
Squirrel Hill North,Disorderly conduct (unreasonable noise)
East Hills,Obscene lang/gest disorderly conduct
South Oakland,Public drunkenness
Golden Triangle/Civic Arena,Public urination/defecation
Beechview,Public drunkenness
Central Oakland,Loudspeaker noise limit
East Allegheny,Public drunkenness
Squirrel Hill North,Public drunkenness
East Allegheny,Public drunkenness
Central Oakland,Scattering Rubbish
North Oakland,Underage liquor
South Side Flats,Fighting disorderly conduct
North Oakland,Underage liquor
Squirrel Hill North,Public drunkenness
South Oakland,Disorderly Conduct (Unreasonable Noise)
East Allegheny,Public drunkenness
Central Oakland,Open Container
Lower Lawrenceville,Public drunkenness
South Side Flats,Interference with official duties
Larimer,Disorderly Conduct
South Side Slopes,Defiant Trespass
West Oakland,Underage liquor offense
Central Oakland,Disorderly Conduct
South Side Flats,Public urination/defecation
East Allegheny,Public drunkenness
Central Oakland,Underage liquor
Allentown,Disorderly conduct - unreasonable noise
South Side Flats,Public drunkenness
Beechview,Rabies vaccination
Shadyside,Public drunkenness
South Oakland,Disorderly Conduct (Unreasonable Noise)
North Oakland,Public drunkenness
North Oakland,Unreasonable noise disorderly conduct
Central Oakland,Loudspeaker volume limits
Shadyside,Public drunkenness
South Side Flats,Criminal Mischief
Overbrook,Harassment
Golden Triangle/Civic Arena,Cruelty to animals
South Side Flats,Public drunkenness
Shadyside,Disorderly Conduct - Unreasonable Noise
Central Oakland,Public urination/defecation
North Shore,Reselling license
Central Oakland,Excessive noise in residential area
Chateau,Disorderly Conduct
South Side Flats,Public urination/defecation
South Side Flats,Indecent public act
Elliott,Fighting in disorderly conduct
Central Oakland,Alcohol consumption in public
Golden Triangle/Civic Arena,Public drunkenness
Shadyside,Disorderly conduct - unreasonable noise
East Hills,Amplified vehicle noise
South Oakland,Underage liquor
South Oakland,Loud noise restriction
East Allegheny,Disorderly Conduct
,Public drunkenness
South Oakland,Unreasonable noise disorderly conduct
Marshall-Shadeland,Public drunkenness
South Side Flats,Public drunkenness
Golden Triangle/Civic Arena,Alcohol on streets/sidewalks
South Side Flats,Public urination/defecation
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
Friendship,Criminal Mischief
Squirrel Hill North,Disorderly conduct (unreasonable noise)
South Side Flats,Public drunkenness
South Side Flats,Alcohol consumption in public
Squirrel Hill North,Disorderly conduct (unreasonable noise)
Strip District,Public drunkenness
Central Oakland,Retail Theft
Central Oakland,Public drunkenness
Golden Triangle/Civic Arena,Fighting (Disorderly Conduct)
East Liberty,Obscene lang/gest disorderly conduct
North Shore,Harassment
North Oakland,Unreasonable noise disorderly conduct
South Side Flats,Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Beechview,Public drunkenness
North Shore,Disorderly Conduct
East Allegheny,Obstructing passage
Knoxville,Fighting (disorderly conduct)
South Side Flats,Park hours
Central Oakland,Underage liquor
Mount Washington,Harassment
South Side Flats,Public drunkenness
East Hills,Fighting in disorderly conduct
Squirrel Hill North,Disorderly Conduct - Unreasonable Noise
Central Oakland,Underage liquor
Crawford-Roberts,Littering/Dumping
Bloomfield,Harassment
West Oakland,Underage liquor
Upper Lawrenceville,Harassment
South Side Flats,Fighting in disorderly conduct
Central Oakland,Underage liquor
Carrick,Indecent public excretion
Squirrel Hill North,Loudspeaker volume limit
Golden Triangle/Civic Arena,Disorderly Conduct
Central Oakland,Alcohol consumption in public
Strip District,Obscene Lang/Gest Disorderly Conduct
Brighton Heights,Retail Theft
Knoxville,Harassment
South Side Flats,Criminal Mischief
Golden Triangle/Civic Arena,Public drunkenness
North Shore,Public drunkenness
Hazelwood,Unreasonable noise disorderly conduct
Larimer,Disorderly Conduct
Golden Triangle/Civic Arena,Fighting in disorderly conduct
Greenfield,Criminal Mischief
South Side Flats,Public urination/defecation
Sheraden,Criminal Mischief
California-Kirkbride,Disorderly conduct
Golden Triangle/Civic Arena,Obstructing passage
North Oakland,Loudspeaker noise limit
Beechview,Dog license requirement
Central Oakland,Underage liquor offense
Central Oakland,Alcohol on streets/sidewalks
South Side Flats,Alcohol on streets/sidewalks
Bloomfield,Transporting animal cruelly
Greenfield,Harassment
South Oakland,Unreasonable Noise Disorderly Conduct
Central Oakland,Loudspeaker volume limits
North Oakland,Underage liquor
Squirrel Hill North,Disorderly Conduct (Unreasonable Noise)
South Side Flats,Indecent public act
Central Oakland,Loud noise regulation
Bloomfield,Obstructing passage
South Side Flats,Indecent public act
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
Mount Washington,Harassment
Strip District,Public drunkenness
West Oakland,Disorderly Conduct (Unreasonable Noise)
Bloomfield,Obstructing passage
South Side Flats,Alcohol consumption in public
East Allegheny,Disorderly Conduct
Sheraden,Harassment
North Shore,Ticket resale without license
Central Oakland,Underage liquor offense
Golden Triangle/Civic Arena,Public drunkenness
Brookline,Cruelty to Animals
Strip District,Harassment
Upper Hill,Public urination/defecation
Central Oakland,Underage liquor
Golden Triangle/Civic Arena,Valet parking requirement
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
Central Oakland,Underage liquor offense
Brookline,Rabies vaccination
Westwood,Harassment
Central Oakland,Scattering rubbish
Central Oakland,Underage liquor
Golden Triangle/Civic Arena,Theft of services
Central Oakland,Underage liquor offense
Central Oakland,Underage liquor
Central Oakland,Underage liquor
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Central Oakland,Underage liquor
Mount Washington,Public drunkenness
Central Oakland,Underage liquor
East Allegheny,Obstructing passage
North Oakland,Alcohol on streets/sidewalks
Brookline,Dog license requirement
Central Oakland,Underage liquor
Central Oakland,Underage liquor
South Side Flats,Alcohol consumption in public
Central Oakland,Underage liquor offense
Upper Lawrenceville,Disorderly Conduct - Unreasonable Noise
Central Oakland,Underage liquor
Central Oakland,Underage liquor
South Side Flats,Unreasonable noise disorderly conduct
Central Oakland,Underage liquor
Hazelwood,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Golden Triangle/Civic Arena,Public drunkenness
South Side Flats,Open Container
South Side Flats,Obscene lang/gest disorderly conduct
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
South Side Flats,Public urination/defecation
Golden Triangle/Civic Arena,Public drunkenness
Allegheny West,Public drunkenness
South Side Flats,Indecent public act
Central Oakland,Underage liquor
Sheraden,Public drunkenness
Central Oakland,Underage liquor
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
Central Oakland,Underage liquor offense
Central Oakland,Underage liquor
Golden Triangle/Civic Arena,Alcohol consumption in public
Squirrel Hill South,Public drunkenness
South Shore,Public drunkenness
Central Oakland,Underage liquor
Central Oakland,Indecent public act
Central Oakland,Alcohol consumption in public
Squirrel Hill North,Unreasonable noise disorderly conduct
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
South Side Flats,Public urination/defecation
Golden Triangle/Civic Arena,Fighting disorderly conduct
Central Oakland,Underage liquor offense
East Carnegie,Harassment
Golden Triangle/Civic Arena,Fighting (disorderly conduct)
Central Oakland,Disorderly Conduct
Golden Triangle/Civic Arena,Harassment by contact
Hazelwood,Unreasonable noise disorderly conduct
Central Oakland,Underage liquor offense
Central Lawrenceville,Criminal Mischief
Beltzhoover,Littering/Dumping
Central Oakland,Underage liquor
Central North Side,Alcohol consumption in public
Central Oakland,Underage liquor
Fineview,Defiant Trespass
Homewood South,Public drunkenness
Central Oakland,Underage liquor
Allegheny West,Trespass
East Carnegie,Harassment
South Side Flats,Public drunkenness
Central Oakland,Underage liquor offense
Golden Triangle/Civic Arena,Fighting in disorderly conduct
Central Oakland,Underage liquor
Central Oakland,Underage liquor offense
South Side Flats,Public drunkenness
Central Oakland,Underage liquor
South Side Flats,Fighting in disorderly conduct
Morningside,Criminal Mischief
South Side Flats,Fighting in disorderly conduct
Terrace Village,Harassment
Central Oakland,Underage liquor
Squirrel Hill North,Unreasonable Noise Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Harassment
South Side Flats,Open Container
South Side Flats,Littering
Golden Triangle/Civic Arena,Harassment
South Side Flats,Public urination/defecation
Perry South,Anonymous harassment
Glen Hazel,Criminal Mischief
Central Oakland,Underage liquor offense
North Shore,Illegal ticket resale
South Side Flats,Fighting (Disorderly Conduct)
Squirrel Hill South,Harboring nuisance animal
East Carnegie,Public drunkenness
Central Oakland,Underage liquor
Central Oakland,Alcohol consumption in public
South Side Flats,Public drunkenness
Central Oakland,Public drunkenness
,Retail Theft
North Shore,Underage liquor offense
Fairywood,Criminal Mischief
Brookline,Public drunkenness
Allegheny Center,Alcohol consumption in public
North Shore,Public urination/defecation
East Liberty,Retail Theft
Central Lawrenceville,Criminal Trespass
Central Oakland,Underage liquor
Shadyside,Indecent public act
Squirrel Hill South,Alcohol consumption in public
Greenfield,Amplified vehicle noise
South Side Flats,Public drunkenness
East Allegheny,Obstructing passage
East Allegheny,Alcohol consumption in public
Mt. Oliver Neighborhood,Harboring nuisance animal
South Side Flats,Indecent public act
Bluff,Alcohol consumption in public
Bedford Dwellings,Alcohol consumption in public
West End,Disorderly conduct
South Side Flats,Public urination/defecation
Golden Triangle/Civic Arena,Harassment
Bloomfield,Dog license requirement
Golden Triangle/Civic Arena,Harassment by following
Squirrel Hill North,False ID for liquor
South Side Flats,Indecent public act
Knoxville,Harassment
Golden Triangle/Civic Arena,Obstructing passage
Central Oakland,Underage liquor offense
Squirrel Hill South,Alcohol consumption in public
Allentown,Dog license requirement
Bloomfield,Dogs at large prohibited
North Shore,Public drunkenness
South Side Flats,Fighting in disorderly conduct
Mt. Oliver Neighborhood,Dog license requirement
Homewood South,Interference with official duties
Carrick,Harassment
Central Business District,Retail Theft
Golden Triangle/Civic Arena,Public drunkenness
Marshall-Shadeland,Excessive noise in residential area
South Side Flats,Alcohol on streets/sidewalks
Marshall-Shadeland,Theft of services
Squirrel Hill South,Fighting in disorderly conduct
South Side Flats,Fighting in disorderly conduct
North Shore,Obscene Lang/Gesture Disorderly Conduct
Central Oakland,Disorderly Conduct
South Side Flats,Underage liquor
Golden Triangle/Civic Arena,Retail Theft
North Shore,Public urination/defecation
South Side Flats,Public urination/defecation
Central Oakland,Underage liquor offense
East Liberty,Harassment by following
Homewood South,Harassment by following
South Side Flats,Fighting disorderly conduct
Central Oakland,Alcohol consumption in public
East Liberty,Harassment
South Side Flats,Alcohol consumption in public
South Side Flats,Public urination/defecation
Central Oakland,Underage liquor
Golden Triangle/Civic Arena,Fighting in disorderly conduct
Garfield,Criminal Mischief
South Side Flats,Disorderly Conduct
Central Oakland,Public drunkenness
Central Oakland,Underage liquor offense
North Shore,Amplified vehicle noise
South Side Flats,Fighting in disorderly conduct
South Side Flats,Alcohol on streets/sidewalks
South Side Flats,Indecent public act
,Public drunkenness
Bloomfield,Obscene lang/gest disorderly conduct
Brighton Heights,Actual Communication
South Side Flats,Public urination/defecation
South Side Flats,Indecent public excretion
South Side Flats,Public urination/defecation
East Liberty,Discharging firearm/airgun
South Side Flats,Fighting (Disorderly Conduct)
North Shore,Public urination/defecation
Golden Triangle/Civic Arena,Harassment
Allegheny West,Theft of services
Chateau,Obstructing passage
South Side Flats,Obscene lang/gest disorderly conduct
Golden Triangle/Civic Arena,Disorderly Conduct
Allegheny West,Public drunkenness
Squirrel Hill North,Underage liquor
South Side Flats,Disorderly conduct (noise)
Golden Triangle/Civic Arena,Public drunkenness
Central Oakland,Underage liquor offense
South Side Flats,Indecent public urination/defecation
Fineview,Public drunkenness
Central North Side,Disorderly Conduct
South Side Flats,Public drunkenness
Greenfield,Public drunkenness
Central Oakland,Underage liquor
Central Business District,Alcohol consumption in public
South Side Flats,Indecent public urination/defecation
East Allegheny,Public urination/defecation
Golden Triangle/Civic Arena,Fighting in disorderly conduct
South Side Flats,Indecent public excretion
South Side Flats,Disorderly Conduct
South Oakland,Harassment
South Side Flats,Public urination/defecation
Allentown,Rabies vaccination
East Allegheny,Open Container
Central Oakland,Underage liquor offense
Central Oakland,Underage liquor
Chateau,Public urination/defecation
South Side Flats,Fighting in disorderly conduct
North Shore,Obscene lang/gest disorderly conduct
Mt. Oliver Neighborhood,Rabies vaccination
North Shore,Unlicensed ticket resale
Central North Side,Alcohol on streets/sidewalks
South Side Flats,Public urination/defecation
East Hills,Obscene lang/gest disorderly conduct
Allegheny West,Disorderly Conduct
Larimer,Alcohol consumption in public
North Oakland,Alcohol consumption in public
West Oakland,Underage liquor
Upper Lawrenceville,Public drunkenness
Greenfield,Fighting in disorderly conduct
Strip District,Fighting in disorderly conduct
Central Oakland,Underage liquor offense
Bedford Dwellings,Criminal Trespass
East Allegheny,Obstructing passage
Mt. Oliver Neighborhood,Cruelty to animals
North Shore,Public drunkenness
South Side Flats,Fighting (disorderly conduct)
East Allegheny,Obstructing passage
South Side Flats,Public drunkenness
Marshall-Shadeland,Harassment by physical contact
North Shore,Littering
South Side Flats,Fighting in disorderly conduct
South Side Flats,Fighting (Disorderly Conduct)
Greenfield,Fighting (disorderly conduct)
Shadyside,Unreasonable noise disorderly conduct
Shadyside,Actual Communication
Central Oakland,Underage liquor
South Side Flats,Public drunkenness
Strip District,Fighting (Disorderly Conduct)
Central Business District,Cruelty to animals
Allentown,Public drunkenness
Carrick,Public drunkenness
Squirrel Hill South,Harassment
Central Oakland,Public drunkenness
Polish Hill,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
North Shore,Public drunkenness
Allentown,Obstructing passage
South Side Flats,Public drunkenness
Shadyside,Public drunkenness
North Shore,Public drunkenness
Central Oakland,Harassment
South Side Flats,Open Container
Polish Hill,Harassment
South Side Flats,Indecent public act
Polish Hill,Public drunkenness
Carrick,Indecent public act
North Shore,Trespass
New Homestead,Harassment
South Side Flats,Indecent public excretion
South Side Flats,Fighting in disorderly conduct
North Shore,Public urination/defecation
Polish Hill,Fighting in disorderly conduct
Bluff,Harassment
South Side Flats,Fighting (Disorderly Conduct)
Carrick,Harassment by following
Chateau,Obstruction of public way
Marshall-Shadeland,Retail Theft
Chateau,Obstruction of public way
South Side Flats,Retail Theft
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Knoxville,Criminal Mischief
South Side Flats,Indecent public urination/defecation
South Side Flats,Public urination/defecation
Central Oakland,Disorderly conduct - unreasonable noise
Crawford-Roberts,Harassment
Central Lawrenceville,Fighting disorderly conduct
North Shore,Disorderly conduct - Unreasonable noise
Northview Heights,Criminal Mischief
South Side Flats,Public urination/defecation
New Homestead,Harassment
South Side Flats,Public drunkenness
Crawford-Roberts,Disorderly Conduct
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
Crawford-Roberts,Criminal Trespass
Beechview,Disorderly conduct (unreasonable noise)
Beechview,Obscene lang/gest disorderly conduct
Allentown,Rabies vaccination
Sheraden,Harassment
Polish Hill,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Terrace Village,Public drunkenness
Central Oakland,Obscene Lang/Gesture Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
North Oakland,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Actual Communication
Arlington,Criminal Mischief
Homewood South,Alcohol consumption in public
Central Oakland,Alcohol consumption in public
Carrick,Indecent public urination/defecation
South Side Flats,Indecent public excretion
South Side Flats,Interference with official duties
Squirrel Hill North,Loudspeaker noise limit
South Side Flats,Public urination/defecation
South Side Flats,Underage liquor
South Side Flats,Panhandling hindrance to traffic
Beechview,Obscene lang/gest disorderly conduct
Central Oakland,Disorderly conduct (unreasonable noise)
Crafton Heights,Harboring nuisance animal
Brookline,Disorderly conduct (unreasonable noise)
South Side Flats,Fighting in disorderly conduct
Carrick,Harassment
Knoxville,Disorderly conduct - unreasonable noise
South Side Slopes,Cruelty to Animals
Allentown,Dog license requirement
Bloomfield,Criminal Mischief
East Liberty,Actual Communication
Knoxville,Cruelty to Animals
Central Lawrenceville,Fighting in disorderly conduct
South Side Flats,Indecent public excretion
South Side Flats,Public urination/defecation
South Side Flats,Disorderly Conduct
South Side Flats,Unreasonable noise disorderly conduct
South Side Flats,Indecent public excretion
Central Oakland,Indecent public act
Terrace Village,Obscene lang/gest disorderly conduct
South Side Flats,Fighting (Disorderly Conduct)
Allegheny Center,Public urination/defecation
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Northview Heights,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Bluff,Public drunkenness
South Shore,Disorderly Conduct
Spring Hill-City View,Public drunkenness
North Shore,Public drunkenness
Swisshelm Park,Criminal Trespass
Central Business District,Harassment
Beechview,Disorderly conduct - unreasonable noise
Elliott,Harassment
South Side Flats,Public drunkenness
Spring Garden,Criminal Mischief
Central Oakland,Public drunkenness
South Side Flats,Fighting in disorderly conduct
Hazelwood,Harassment
South Side Flats,Fighting (Disorderly Conduct)
Mount Washington,Interference with duties
South Side Flats,Public drunkenness
South Side Flats,Fighting in disorderly conduct
South Side Flats,Disorderly Conduct
Central Oakland,Underage liquor
South Side Flats,Public drunkenness
South Side Flats,Fighting (Disorderly Conduct)
South Side Flats,Public drunkenness
Carrick,Harassment
Central Business District,Obstructing passage
Banksville,Public drunkenness
Mount Washington,Obstructing passage
Beechview,Harassment
Squirrel Hill South,Public drunkenness
Squirrel Hill North,Underage liquor offense
Central Oakland,Underage liquor
Lincoln-Lemington-Belmar,Public drunkenness
Squirrel Hill North,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
Squirrel Hill North,Disorderly Conduct
North Shore,Harassment
Carrick,Trespass
North Oakland,Loudspeaker noise limit
Central Business District,Obstructing passage
Mount Washington,Interference with duties
Beechview,Harassment
South Side Flats,Criminal Mischief - Prop Damage (Fire/Explosives/Dangerous Means)
Central Oakland,Public drunkenness
South Side Flats,Public urination/defecation
Spring Garden,Harassment
South Side Flats,Indecent public excretion
Mount Washington,Public drunkenness
South Side Flats,Littering
Perry South,Harassment
Mount Washington,Fighting in disorderly conduct
South Side Flats,Fighting (Disorderly Conduct)
Crawford-Roberts,Harassment
South Side Flats,Indecent public excretion
Carrick,Harassment
East Allegheny,Obstruction of public way
North Shore,Fighting (Disorderly Conduct)
Mount Washington,Interference with official duties
South Side Flats,Public drunkenness
South Side Flats,Indecent public urination/defecation
Central Oakland,Fighting in disorderly conduct
Central Oakland,Fighting disorderly conduct
Squirrel Hill North,Underage liquor offense
Central Oakland,Underage liquor offense
South Side Flats,Fighting in disorderly conduct
,Public drunkenness
Banksville,Alcohol consumption in public
Squirrel Hill South,Public drunkenness
Central Business District,Obstructing passage
Allegheny Center,Harassment
South Side Flats,Obscene lang/gest disorderly conduct
South Side Flats,Littering
Squirrel Hill South,Harassment
Squirrel Hill South,Criminal Mischief
Central Business District,Aggressive Panhandling
Central North Side,Open Container
Greenfield,Public drunkenness
,Public drunkenness
South Side Flats,Alcohol consumption in public
Knoxville,Criminal Mischief
South Side Flats,Public drunkenness
South Side Flats,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Mount Washington,Fighting disorderly conduct
Brookline,Public drunkenness
North Shore,Public drunkenness
South Side Flats,Indecent public excretion
East Liberty,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Oakland,Public drunkenness
Central Oakland,Public drunkenness
Central Business District,Fighting in disorderly conduct
South Side Flats,Public urination/defecation
South Side Flats,Indecent public act
South Side Flats,Public urination/defecation
Allegheny Center,Public drunkenness
East Carnegie,Harassment
Strip District,Criminal Trespass
South Side Flats,Public drunkenness
Brookline,Public drunkenness
North Shore,Fighting in disorderly conduct
South Side Flats,Fighting in disorderly conduct
North Shore,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Obstructing passage
Central Oakland,Public drunkenness
Central Business District,Obstructing passage
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Oakland,Retail Theft
North Oakland,Harassment
South Side Flats,Public drunkenness
Mount Washington,Harassment
South Side Flats,Harassment by physical contact
Shadyside,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Defiant Trespass
South Side Flats,Open Container
Shadyside,Harassment
North Shore,Public drunkenness
South Side Flats,Public drunkenness
Allegheny Center,Public drunkenness
Carrick,Harassment
Lower Lawrenceville,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Perry South,Dog license requirement
East Allegheny,Obstructing passage
Central Business District,Harassment
South Side Flats,Public drunkenness
Greenfield,Disorderly conduct
North Shore,Public drunkenness
North Oakland,Public drunkenness
South Side Flats,Public drunkenness
Middle Hill,Public urination/defecation
Point Breeze,Public drunkenness
Allegheny Center,Alcohol consumption in public
Central Business District,Scattering rubbish
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Fighting in disorderly conduct
Northview Heights,Obstructing passage
Sheraden,Criminal Mischief
North Shore,Public drunkenness
South Side Flats,Alcohol consumption in public
South Side Flats,Public urination/defecation
Mount Washington,Public drunkenness
Shadyside,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Obstructing passage
Banksville,Harassment
North Shore,Indecent public act
South Side Flats,Public drunkenness
Perry South,Cruelty to animals
Central Business District,Public drunkenness
Westwood,Public drunkenness
South Side Flats,Public drunkenness
Upper Hill,Harassment
South Side Flats,Public drunkenness
North Shore,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Indecent public act
North Shore,Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Indecent public excretion
South Side Slopes,Disorderly conduct
Elliott,Disorderly Conduct
North Shore,Public drunkenness
Stanton Heights,Harassment by physical contact
Shadyside,Public drunkenness
Elliott,Public drunkenness
Sheraden,Public drunkenness
West Oakland,Disorderly Conduct - Unreasonable Noise
South Side Flats,Public drunkenness
Central Business District,Obstructing passage
Central Business District,Public drunkenness
Brighton Heights,Public drunkenness
South Side Flats,Harassment
Central Business District,Harassment
Perry South,Harassment
South Side Flats,Public drunkenness
North Oakland,Harassment
Shadyside,Fighting in disorderly conduct
Central Oakland,Underage liquor
North Oakland,Defiant Trespass
Central Oakland,Underage liquor
South Side Flats,Public urination/defecation
South Oakland,Disorderly conduct (unreasonable noise)
Central Business District,Obstructing passage
South Side Flats,Public drunkenness
South Side Flats,Open Container
Shadyside,Underage liquor offense
Squirrel Hill North,Public drunkenness
South Side Flats,Indecent public act
Central Business District,Public drunkenness
South Side Flats,Public urination/defecation
North Shore,Public drunkenness
Shadyside,Public drunkenness
South Side Flats,Public urination/defecation
Squirrel Hill North,Public drunkenness
South Side Flats,Indecent public act
North Shore,Public drunkenness
South Side Flats,Fighting disorderly conduct
South Side Flats,Public drunkenness
Central Oakland,Underage liquor
North Shore,Disorderly Conduct
South Side Flats,Disorderly Conduct
Homewood South,Marijuana possession
East Liberty,Harassment
South Side Flats,Public urination/defecation
Shadyside,Public drunkenness
Bedford Dwellings,Harassment
Central Business District,Public drunkenness
